1.0000000000000000e-08	9.9734662548084407e-01
1.0436292088904132e-08	9.9730858534395983e-01
1.0891619256492297e-08	9.9726999984715059e-01
1.1366811988188646e-08	9.9723086117202919e-01
1.1862737002839382e-08	9.9719116138812924e-01
1.2380298833548321e-08	9.9715089245129584e-01
1.2920441477482940e-08	9.9711004620205890e-01
1.3484150117660402e-08	9.9706861436397987e-01
1.4072452919853498e-08	9.9702658854197279e-01
1.4686422907894292e-08	9.9698396022060620e-01
1.5327179920795762e-08	9.9694072076237905e-01
1.5995892655261106e-08	9.9689686140596778e-01
1.6693780797306154e-08	9.9685237326445486e-01
1.7422117246882592e-08	9.9680724732352588e-01
1.8182230439560106e-08	9.9676147443959129e-01
1.8975506769501301e-08	9.9671504533815847e-01
1.9803393118149325e-08	9.9666795061160651e-01
2.0667399493240031e-08	9.9662018071752090e-01
2.1569101782952223e-08	9.9657172597669208e-01
2.2510144630219228e-08	9.9652257657116383e-01
2.3492244432444477e-08	9.9647272254223962e-01
2.4517192472092293e-08	9.9642215378846655e-01
2.5586858183863675e-08	9.9637086006359143e-01
2.6703192564416840e-08	9.9631883097448193e-01
2.7868231730850711e-08	9.9626605597902507e-01
2.9084100634442441e-08	9.9621252438399077e-01
3.0353016936412326e-08	9.9615822534286813e-01
3.1677295052785311e-08	9.9610314785366461e-01
3.3059350375726601e-08	9.9604728075668070e-01
3.4501703679050539e-08	9.9599061273225165e-01
3.6006985715938973e-08	9.9593313229845271e-01
3.7577942017253799e-08	9.9587482780884129e-01
3.9217437899196403e-08	9.9581568744982718e-01
4.0928463689447245e-08	9.9575569923869289e-01
4.2714140181317831e-08	9.9569485102088984e-01
4.4577724325862940e-08	9.9563313046764612e-01
4.6522615172335271e-08	9.9557052507347110e-01
4.8552360067817494e-08	9.9550702215362252e-01
5.0670661127338862e-08	9.9544260884153979e-01
5.2881381986278865e-08	9.9537727208623616e-01
5.5188554847371961e-08	9.9531099864966022e-01
5.7596387835167977e-08	9.9524377510401052e-01
6.0109272671361775e-08	9.9517558782902260e-01
6.2731792684991424e-08	9.9510642300920771e-01
6.5468731172115142e-08	9.9503626663105760e-01
6.8325080120213666e-08	9.9496510448020659e-01
7.1306049313232687e-08	9.9489292213855540e-01
7.4417075833869822e-08	9.9481970498128536e-01
7.7663833980439448e-08	9.9474543817416483e-01
8.1052245616402412e-08	9.9467010667014311e-01
8.4588490971437517e-08	9.9459369520657703e-01
8.8279019913755184e-08	9.9451618830207134e-01
9.2130563714213360e-08	9.9443757025334745e-01
9.6150147323692504e-08	9.9435782513206361e-01
1.0034510218612189e-07	9.9427693678159224e-01
1.0472307961053006e-07	9.9419488881374873e-01
1.0929206472650525e-07	9.9411166460547851e-01
1.1406039104852250e-07	9.9402724729548830e-01
1.1903675567570070e-07	9.9394161978083750e-01
1.2423023515471319e-07	9.9385476471347700e-01
1.2965030203478331e-07	9.9376666449673812e-01
1.3530684214496404e-07	9.9367730128177290e-01
1.4121017262520886e-07	9.9358665696394211e-01
1.4737106074412539e-07	9.9349471317915516e-01
1.5380074353773263e-07	9.9340145130018376e-01
1.6051094830504123e-07	9.9330685243276362e-01
1.6751391399784018e-07	9.9321089741197255e-01
1.7482241354370266e-07	9.9311356679822083e-01
1.8244977714292708e-07	9.9301484087335001e-01
1.9040991658190518e-07	9.9291469963664802e-01
1.9871735060726367e-07	9.9281312280080058e-01
2.0738723140705745e-07	9.9271008978779296e-01
2.1643537224732043e-07	9.9260557972474461e-01
2.2587827631437313e-07	9.9249957143969092e-01
2.3573316681549937e-07	9.9239204345730236e-01
2.4601801839289193e-07	9.9228297399454146e-01
2.5675158990816095e-07	9.9217234095625928e-01
2.6795345865720980e-07	9.9206012193072979e-01
2.7964405607787391e-07	9.9194629418511759e-01
2.9184470501545789e-07	9.9183083466088573e-01
3.0457765861413835e-07	9.9171371996913282e-01
3.1786614090516752e-07	9.9159492638586266e-01
3.3173438916590861e-07	9.9147442984720791e-01
3.4620769812696165e-07	9.9135220594454121e-01
3.6131246610801200e-07	9.9122822991955972e-01
3.7707624316654877e-07	9.9110247665928042e-01
3.9352778134727520e-07	9.9097492069096671e-01
4.1069708712385629e-07	9.9084553617698312e-01
4.2861547612866725e-07	9.9071429690957458e-01
4.4731563027034882e-07	9.9058117630557618e-01
4.6683165734336072e-07	9.9044614740104220e-01
4.8719915323825297e-07	9.9030918284580571e-01
5.0845526686611715e-07	9.9017025489795119e-01
5.3063876791564978e-07	9.9002933541821769e-01
5.5379011756639318e-07	9.8988639586431926e-01
5.7795154228714384e-07	9.8974140728518001e-01
6.0316711085412613e-07	9.8959434031509508e-01
6.2948281472940780e-07	9.8944516516780878e-01
6.5694665194616242e-07	9.8929385163048655e-01
6.8560871465377910e-07	9.8914036905764535e-01
7.1552128048249652e-07	9.8898468636495673e-01
7.4673890789420335e-07	9.8882677202297997e-01
7.7931853569332018e-07	9.8866659405080493e-01
8.1331958687925494e-07	9.8850412000960297e-01
